path,bytes,sha256,run_id,outcome,notes
logs/llamacpp-35b/concurrent-metrics-20260807-200029.tsv,339,109117f04a541499b9b40224c829cc59b38c8745256aaf76642ae02162e3e9d5,20260807-200029,INCOMPLETE,Initial run has baseline/summary artifacts but no completed lane result.
logs/llamacpp-35b/concurrent-metrics-20260807-200112.tsv,428,c618a223474f073551a9576c074195be8463576ed857f305433b90442389115a,20260807-200112,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/concurrent-metrics-20260807-200533.tsv,427,65beaa561222fccc84bb1730b75c508e114e1bda6ffecdd25688338fa3fc9e3d,20260807-200533,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/concurrent-metrics-20260807-201001.tsv,427,f4286f0cf25a38c9a9516f4c1cb8636d237dd2cb1aa3fee57d6fa10f3f4a83bc,20260807-201001,FAIL,20/20 requests failed; client exposed context-size-exceeded errors.
logs/llamacpp-35b/concurrent-metrics-20260807-201208.tsv,428,fbcd37a2892714aae74c05f88b84d6db8f1aff5906f05de12f301e8faa1c0cb1,20260807-201208,FAIL,20/20 requests failed with empty completions.
logs/llamacpp-35b/concurrent-metrics-20260807-202508.tsv,493,e7476588764f952178706f2769d6858ae81abac223871ad96813da7148404709,20260807-202508,PASS,"PASS: 4 users x 5 requests, 20/20 complete, llama.cpp context 4096."
logs/llamacpp-35b/concurrent-metrics-20260807-202952.tsv,430,eade8f150849cbacb0f064c4822e13637fbefb198a2f999604cfbdbb4b551e48,20260807-202952,FAIL,68/80 complete; 12 context-size-exceeded failures at context 4096.
logs/llamacpp-35b/concurrent-metrics-20260807-203526.tsv,501,00af0a70491cb917173ddbf0f1b77a45438f28584b9ad6d521ff480083524c7c,20260807-203526,PASS,"PASS: 8 users x 10 requests, 80/80 complete, llama.cpp context 8192."
logs/llamacpp-35b/metrics-random-concurrent-20260807-200029.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-200029,INCOMPLETE,Initial run has baseline/summary artifacts but no completed lane result.
logs/llamacpp-35b/metrics-random-concurrent-20260807-200112.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-200112,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/metrics-random-concurrent-20260807-200533.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-200533,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/metrics-random-concurrent-20260807-201001.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-201001,FAIL,20/20 requests failed; client exposed context-size-exceeded errors.
logs/llamacpp-35b/metrics-random-concurrent-20260807-201208.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-201208,FAIL,20/20 requests failed with empty completions.
logs/llamacpp-35b/metrics-random-concurrent-20260807-202508.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-202508,PASS,"PASS: 4 users x 5 requests, 20/20 complete, llama.cpp context 4096."
logs/llamacpp-35b/metrics-random-concurrent-20260807-202952.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-202952,FAIL,68/80 complete; 12 context-size-exceeded failures at context 4096.
logs/llamacpp-35b/metrics-random-concurrent-20260807-203526.tsv,224,f6f8be0386105f87530a4e1b2433e629d1e25c67911926a37af6379d51c7ae54,20260807-203526,PASS,"PASS: 8 users x 10 requests, 80/80 complete, llama.cpp context 8192."
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-20260807-200117.log,1926,4a0f2d53ca2cfc327781660a499834aa771c1cfe3d7bbe304699ae8cad575519,20260807-200112,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-20260807-200538.log,1926,d43fe4a5deeec84270c89101ddcb3bdec2d5ffae20eee63b3db033890d5fcf56,20260807-200533,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-20260807-201006.log,3206,40378b4c302d3b1d5500dbeeae7456a3a98fec7d3fe26626760cbb885c2cd081,20260807-201001,FAIL,20/20 requests failed; client exposed context-size-exceeded errors.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-20260807-201213.log,1567,5d126e42001597bd5904662983eb93c219c8d12232740ae377db57cc734b5dfa,20260807-201208,FAIL,20/20 requests failed with empty completions.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-20260807-202513.log,378,c03f02b4f5c3b57c0de2a953f026e98200de212b32eab28dc24e4d02ed1f489f,20260807-202508,PASS,"PASS: 4 users x 5 requests, 20/20 complete, llama.cpp context 4096."
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-20260807-202956.log,2089,3f9a78072ef70cfa880aba04434e81f44880604012a15119de2679f50fb992eb,20260807-202952,FAIL,68/80 complete; 12 context-size-exceeded failures at context 4096.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-20260807-203531.log,384,f21dfd0c0737fa596c0e397112c1fce2539395423f95c16b992f6098de593ceb,20260807-203526,PASS,"PASS: 8 users x 10 requests, 80/80 complete, llama.cpp context 8192."
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-client.py,5408,1c3274c1618b402c3a1a8b76734e8b86c208a3d37fb894346a9b2172c64baadc,,SUPPORT,Supporting benchmark client artifact.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-thermal-20260807-200117.csv,1063,45ebf16b25dbcaacc37817a1cc02076d08ba2b3b28df7cc6c055fe4c8210e1ae,20260807-200112,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-thermal-20260807-200538.csv,1063,221e9ef61551155f79bdbfb234e60ec63c6647827f2abb4947442ec8dee76ec6,20260807-200533,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-thermal-20260807-201006.csv,1062,bcc2ca969eb613a86486588bde31502671fea853e3e4e124830b611851618086,20260807-201001,FAIL,20/20 requests failed; client exposed context-size-exceeded errors.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-thermal-20260807-201213.csv,2029,30d97f14c33727fec5739fcb3f9f5a7a58305b42741b8a05ab226f98ff4db2ed,20260807-201208,FAIL,20/20 requests failed with empty completions.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-thermal-20260807-202513.csv,2030,78cf30f412d12f978134d52ee1a0d7e4f48fdf3238f13315397201f631632aeb,20260807-202508,PASS,"PASS: 4 users x 5 requests, 20/20 complete, llama.cpp context 4096."
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-thermal-20260807-202956.csv,9440,3aba5b61d60148002ffb6dca00070b753ac17eee2d3ac8790283b493e31afb7c,20260807-202952,FAIL,68/80 complete; 12 context-size-exceeded failures at context 4096.
logs/llamacpp-35b/pds-v100-llamacpp-concurrent-thermal-20260807-203531.csv,9903,552601ddd3303edd16105f2b4f631dd2e79e6ec6a721cdcedfd1e1dd283b8518,20260807-203526,PASS,"PASS: 8 users x 10 requests, 80/80 complete, llama.cpp context 8192."
logs/llamacpp-35b/pds-v100-llamacpp-server-20260807-200117.log,66206,4819ef34e88e8c554996456b83a83469a40f0fb356023e67fdde32ad33ac77bf,20260807-200112,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/pds-v100-llamacpp-server-20260807-200538.log,66206,57c881d957a2660f5ca4ebb0a41fd78fe174673b18d308f047dd2bf1ed9b07b4,20260807-200533,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/pds-v100-llamacpp-server-20260807-201006.log,65871,ae17b06bc5193e4378c7f3d9a9297aa2d8f99acdef25bb0342d11cd18ea3de8a,20260807-201001,FAIL,20/20 requests failed; client exposed context-size-exceeded errors.
logs/llamacpp-35b/pds-v100-llamacpp-server-20260807-201213.log,16637,687567a1a879ace0b80903d60778384b3132fa354e65c5a5e177404adacb843c,20260807-201208,FAIL,20/20 requests failed with empty completions.
logs/llamacpp-35b/pds-v100-llamacpp-server-20260807-202513.log,16637,f728231bf2491f53dd4a5832612f3ae3fe371cf3a45e848bbf63e4f7634719c9,20260807-202508,PASS,"PASS: 4 users x 5 requests, 20/20 complete, llama.cpp context 4096."
logs/llamacpp-35b/pds-v100-llamacpp-server-20260807-202956.log,100639,299a80c7ac0e7793fb2bc2b472c49ccd2bf9847852cca6b07133c866df69b83d,20260807-202952,FAIL,68/80 complete; 12 context-size-exceeded failures at context 4096.
logs/llamacpp-35b/pds-v100-llamacpp-server-20260807-203531.log,79527,55f88671c186cf04a21b84d4432d9b037831b5a31a5ef245db856853bb825451,20260807-203526,PASS,"PASS: 8 users x 10 requests, 80/80 complete, llama.cpp context 8192."
logs/llamacpp-35b/run-baseline-20260807-200029.csv,646,746a55892f71afc2be8e6a76ff52ee4904b9dfdae871a565e3923c66b3537a40,20260807-200029,INCOMPLETE,Initial run has baseline/summary artifacts but no completed lane result.
logs/llamacpp-35b/run-baseline-20260807-200112.csv,606,46f55feb70f7eafe87b4cad56935ac472ec2e7930677410e928bcca0b29b929e,20260807-200112,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/run-baseline-20260807-200533.csv,606,4612e284217a3a0f98a041174f4f1897115bea5bf5b3ccb4733da93969bfc3bf,20260807-200533,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/run-baseline-20260807-201001.csv,606,caec06b8ee78b351053e621d75b4f747778a8c1fdd21fd834384411f6fe5d9b3,20260807-201001,FAIL,20/20 requests failed; client exposed context-size-exceeded errors.
logs/llamacpp-35b/run-baseline-20260807-201208.csv,606,4612e284217a3a0f98a041174f4f1897115bea5bf5b3ccb4733da93969bfc3bf,20260807-201208,FAIL,20/20 requests failed with empty completions.
logs/llamacpp-35b/run-baseline-20260807-202508.csv,606,b01c93ff82fa8e47f016d73a6a4ec12105e7bb228559e3e247f08897427bbabe,20260807-202508,PASS,"PASS: 4 users x 5 requests, 20/20 complete, llama.cpp context 4096."
logs/llamacpp-35b/run-baseline-20260807-202952.csv,606,72311bd5d094162e7dd9e2ae017cfed6b41ed5c8e34c56502e1e30f893fefef8,20260807-202952,FAIL,68/80 complete; 12 context-size-exceeded failures at context 4096.
logs/llamacpp-35b/run-baseline-20260807-203526.csv,606,a6a240bdda22d5ba73cfabe4173846af07619c6475938d74b404b2b62d9abb4c,20260807-203526,PASS,"PASS: 8 users x 10 requests, 80/80 complete, llama.cpp context 8192."
logs/llamacpp-35b/summary-random-concurrent-20260807-200029.txt,459,43f5c38ea0b59100a4da4ed4c3baae4d8ddb923a55e5371fd008c2c48c87683c,20260807-200029,INCOMPLETE,Initial run has baseline/summary artifacts but no completed lane result.
logs/llamacpp-35b/summary-random-concurrent-20260807-200112.txt,644,3d15141a6658692d10f93048b85b605445b50aa9e7dd48c6d9089200b762f5f6,20260807-200112,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/summary-random-concurrent-20260807-200533.txt,644,6e9023bcf5de49b5a97dcfc8d33a789249395abd4540857913a2bbe0d2d38d2a,20260807-200533,FAIL,20/20 requests failed with HTTP 500 responses.
logs/llamacpp-35b/summary-random-concurrent-20260807-201001.txt,644,cc16ce0ddd303a73e34477217d620f55f7e9d84498d54dd9868ab6199f75c223,20260807-201001,FAIL,20/20 requests failed; client exposed context-size-exceeded errors.
logs/llamacpp-35b/summary-random-concurrent-20260807-201208.txt,644,49f13f32d68bd629d5ac8689ae604746a3af27a97cd95177e4c747af5b2dcbc5,20260807-201208,FAIL,20/20 requests failed with empty completions.
logs/llamacpp-35b/summary-random-concurrent-20260807-202508.txt,712,5d1ee9154e616bf817b38f93ede48e3f9af22b2e388e1935530ce25fa6d7a744,20260807-202508,PASS,"PASS: 4 users x 5 requests, 20/20 complete, llama.cpp context 4096."
logs/llamacpp-35b/summary-random-concurrent-20260807-202952.txt,693,361c8d3970b776b5155840f9252b82d9d7d25c9197c5d45e08866a54f20617cd,20260807-202952,FAIL,68/80 complete; 12 context-size-exceeded failures at context 4096.
logs/llamacpp-35b/summary-random-concurrent-20260807-203526.txt,713,9b52413385e7e448e77555f69056c0565acb01591ac6dfb721b577a82366d29b,20260807-203526,PASS,"PASS: 8 users x 10 requests, 80/80 complete, llama.cpp context 8192."
